key,value,unit,surface,status,source_path,source_sha256,source_json_path,notes
strong_ownership.shared_wide.seed17.u150.cosine_mean,-0.017795644496800378,fraction,fixed U150 gradient probes,mechanism,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,gradient_trajectories.shared_wide.17.150.cosine_mean,
strong_ownership.shared_wide.seed17.u25.cosine_mean,0.022322161530610174,fraction,fixed U25 gradient probes,mechanism,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,gradient_trajectories.shared_wide.17.25.cosine_mean,
strong_ownership.shared_wide.seed17.u50.cosine_mean,0.0257683492382057,fraction,fixed U50 gradient probes,mechanism,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,gradient_trajectories.shared_wide.17.50.cosine_mean,
strong_ownership.shared_wide.seed42.cosine_mean,0.0324251102283597,fraction,fixed U150 gradient probes,mechanism,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,gradient_u150.shared_wide.42.cosine_mean,
strong_ownership.shared_wide.seed42.u100.cosine_mean,0.011653789784759283,fraction,fixed U100 gradient probes,mechanism,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,gradient_trajectories.shared_wide.42.100.cosine_mean,
strong_ownership.shared_wide.seed42.u150.cosine_mean,0.0324251102283597,fraction,fixed U150 gradient probes,mechanism,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,gradient_trajectories.shared_wide.42.150.cosine_mean,
strong_ownership.shared_wide.seed42.u25.cosine_mean,0.10178237687796354,fraction,fixed U25 gradient probes,mechanism,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,gradient_trajectories.shared_wide.42.25.cosine_mean,
strong_ownership.shared_wide.seed42.u50.cosine_mean,0.11454316484741867,fraction,fixed U50 gradient probes,mechanism,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,gradient_trajectories.shared_wide.42.50.cosine_mean,
strong_ownership.shared_wide.seed73.cosine_mean,0.011831841780804098,fraction,fixed U150 gradient probes,mechanism,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,gradient_u150.shared_wide.73.cosine_mean,
strong_ownership.shared_wide.seed73.u100.cosine_mean,0.023997950833290815,fraction,fixed U100 gradient probes,mechanism,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,gradient_trajectories.shared_wide.73.100.cosine_mean,
strong_ownership.shared_wide.seed73.u150.cosine_mean,0.011831841780804098,fraction,fixed U150 gradient probes,mechanism,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,gradient_trajectories.shared_wide.73.150.cosine_mean,
strong_ownership.shared_wide.seed73.u25.cosine_mean,0.04618716554250568,fraction,fixed U25 gradient probes,mechanism,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,gradient_trajectories.shared_wide.73.25.cosine_mean,
strong_ownership.shared_wide.seed73.u50.cosine_mean,0.04348112270236015,fraction,fixed U50 gradient probes,mechanism,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,gradient_trajectories.shared_wide.73.50.cosine_mean,
strong_ownership.shared_wide.strict_aupr,0.6671528405312412,fraction,Strict-TN2031,prospectively_frozen_transfer,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,secondary.strict2031.shared_wide.aupr.mean,
strong_ownership.shared_wide.strict_auroc,0.6822959053431051,fraction,Strict-TN2031,prospectively_frozen_transfer,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,secondary.strict2031.shared_wide.auroc.mean,
strong_ownership.shared_wide.strict_fpr95,0.8368619727556212,fraction,Strict-TN2031,prospectively_frozen_transfer,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,secondary.strict2031.shared_wide.fpr95.mean,
strong_ownership.shared_wide.testa,0.9127334865358553,fraction,RefCOCO testA,prospectively_frozen_transfer,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,secondary.refcoco_localization.shared_wide.testA.mean,
strong_ownership.shared_wide.testab,0.8897879464285715,fraction,RefCOCO testA+testB micro,prospectively_frozen_transfer,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,secondary.refcoco_localization.shared_wide.testAB_micro.mean,
strong_ownership.shared_wide.testb,0.864311416421328,fraction,RefCOCO testB,prospectively_frozen_transfer,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,secondary.refcoco_localization.shared_wide.testB.mean,
strong_ownership.shared_wide.val,0.8934219432650298,fraction,RefCOCO val,mechanism_only,paper/data/mmgdino_e5_ownership_results.json,f0c589d70b134609d8b3219f454db733d70466af689ec63382e230be7d0e4328,secondary.refcoco_val_mechanism_only.shared_wide.p1.mean,
