type,level,cate,AUROC,FPR95,AUPR,count
attribute,1,text,70.48,75.58,69.44,1171
object,1,text,67.12,82.11,64.17,2488
swap_attr,2,text,66.12,80.33,65.23,122
swap_attr,1,text,63.61,85.86,61.11,403
attribute,2,text,61.75,82.13,58.7,554
order,2,text,59.9,90.36,59.96,166
order,1,text,59.68,91.26,59.09,1556
object,2,text,58.17,88.52,56.87,1463
relation,2,text,52.75,95.57,52.08,542
relation,1,text,51.7,95.33,51.53,1349
object,1,image,70.75,77.95,68.88,2612
attribute,1,image,67.17,77.74,64.64,1267
swap_attr,1,image,62.85,86.86,62.26,487
swap_attr,2,image,62.54,81.82,59.89,143
object,2,image,61.67,84.61,58.78,1559
attribute,2,image,61.62,82.84,58.69,577
order,1,image,57.81,91.86,54.97,307
flip,1,image,53.23,94.66,52.93,1086
flip,2,image,50.74,95.74,50.55,469
overall,0,0,62.12,85.15,32.17,18321
