panel,benchmark,route,seed,series,kind,quantile,score,value,registry_key,source_path,source_sha256,notes
2a,Internal Strict-TN2031,Isolated rejector,42,negative,cdf_knot,0.75,0.7746509313583374,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2a,Internal Strict-TN2031,Isolated rejector,42,negative,cdf_knot,0.95,1.4028417468070984,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2a,Internal Strict-TN2031,Isolated rejector,42,negative,cdf_knot,0.99,1.735174870491028,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
2a,Internal Strict-TN2031,Isolated rejector,42,positive,domain_positive_q05,0.05,0.33476898074150085,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,"domain q05 from committed quantile receipt; diagnostic, not deployment calibration"
2a,Internal Strict-TN2031,Isolated rejector,42,isolated_rejector,sealed_source_tau,,0.31912317872047424,0.31912317872047424,cross_benchmark.sealed_source_tau.seed42,paper/data/confidence_anatomy.json,5f348cd992b9cd4dcbacb0539d7990bef7cf2a80819de2a4d67bdb868543cc08,copied from sealed D3 calibration; never fitted on an external benchmark
2a,Internal Strict-TN2031,Isolated rejector,17/42/73 mean,isolated_rejector,fixed_tau_positive_tpr,,0.9573280814048909,0.9573280814048909,cross_benchmark.internal.fixed_tpr,paper/data/confidence_anatomy.json,5f348cd992b9cd4dcbacb0539d7990bef7cf2a80819de2a4d67bdb868543cc08,internal anchor; FPR95 contrast has paired image-cluster bootstrap
1b,FineCops-Ref,Frozen base,42,positive,cdf_knot,0.01,0.18049853622913362,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1b,FineCops-Ref,Frozen base,42,positive,cdf_knot,0.05,0.24939551055431367,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1b,FineCops-Ref,Frozen base,42,positive,cdf_knot,0.25,0.3314395546913147,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1b,FineCops-Ref,Frozen base,42,positive,cdf_knot,0.5,0.3941216766834259,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1b,FineCops-Ref,Frozen base,42,positive,cdf_knot,0.75,0.47324657440185547,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1b,FineCops-Ref,Frozen base,42,positive,cdf_knot,0.95,0.5812764525413512,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1b,FineCops-Ref,Frozen base,42,positive,cdf_knot,0.99,0.6520528721809387,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
1b,FineCops-Ref,Frozen base,42,negative-text,cdf_knot,0.01,0.08560665056109429,,,data/plot_sources/confidence_quantiles.csv,0987ae3d658360704360a269d39ebb3cabdafadf153af4108baf08fbc47830db,empirical distribution summarized at committed quantile knots
