type,level,cate,AUROC,FPR95,AUPR,count
attribute,1,text,70.62,75.11,69.47,1117
object,1,text,68.29,80.33,65.11,2110
swap_attr,2,text,67.13,79.13,65.89,115
swap_attr,1,text,62.57,86.65,60.67,382
attribute,2,text,61.75,82.52,58.73,515
order,2,text,59.86,88.82,59.41,152
order,1,text,59.42,92.03,58.76,1254
object,2,text,58.2,88.08,56.99,1401
relation,2,text,52.5,95.57,51.78,519
relation,1,text,51.79,94.73,51.66,1271
object,1,image,71.16,77.38,69.18,2458
attribute,1,image,67.6,77.19,64.87,1210
swap_attr,1,image,63.01,86.58,62.12,462
swap_attr,2,image,62.6,81.34,60.07,134
object,2,image,61.77,84.21,58.82,1482
attribute,2,image,61.62,83.46,58.69,544
order,1,image,58.24,91.84,55.17,282
flip,1,image,53.12,93.93,52.81,1022
flip,2,image,50.63,95.62,50.5,457
overall,0,0,62.34,84.9,32.89,16887
