type,level,cate,AUROC,FPR95,AUPR,count
attribute,1,text,70.21,74.93,69.16,1117
object,1,text,68.24,81.14,65.25,2110
swap_attr,2,text,67.14,73.91,64.86,115
swap_attr,1,text,61.81,86.91,60.03,382
attribute,2,text,61.28,83.69,58.45,515
order,2,text,59.75,90.79,58.87,152
order,1,text,59.09,91.07,58.49,1254
object,2,text,57.31,88.94,56.28,1401
relation,2,text,52.3,95.57,51.91,519
relation,1,text,51.93,94.57,51.65,1271
object,1,image,70.92,77.34,68.89,2458
attribute,1,image,67.52,77.44,64.76,1210
swap_attr,1,image,62.61,84.85,61.49,462
swap_attr,2,image,62.21,79.1,59.66,134
attribute,2,image,61.29,82.9,58.28,544
object,2,image,60.98,84.55,58.03,1482
order,1,image,57.76,90.78,54.35,282
flip,1,image,52.93,94.03,52.82,1022
flip,2,image,50.63,93.22,50.53,457
overall,0,0,62.16,85.01,32.68,16887
